unit_id,building_id,program,ami_percentage,rent
1,1,Section 8,40,900
2,1,Section 8,40,950
3,1,Section 8,40,925
4,2,LIHTC,60,1300
5,2,LIHTC,60,1350
6,2,LIHTC,60,1325
7,2,LIHTC,60,1400
8,3,Mitchell-Lama,80,1600
9,3,Mitchell-Lama,80,1550
10,4,Section 8,40,1000
11,4,Section 8,40,1025
12,4,Section 8,40,1050
13,5,LIHTC,60,1450
14,5,LIHTC,60,1500
15,6,Inclusionary,80,1800
16,6,Inclusionary,80,1850
17,6,Inclusionary,80,1900
18,6,Inclusionary,80,1950
19,7,Section 8,30,800
20,7,Section 8,30,825
21,8,NYCHA,30,700
22,8,NYCHA,30,725
23,8,NYCHA,30,750
24,9,LIHTC,60,1200
25,9,LIHTC,60,1250
26,10,Section 8,40,1100
27,10,Section 8,40,1150
28,10,Section 8,40,1125
